GPS Week:  1943 2017-04-02 00:00:00
General FDIR Metrics (10)30/03/2007/03/30 01:39:13.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:40:13.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:41:14.801,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:42:14.803,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:43:14.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:44:14.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:45:15.801,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:46:15.802,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:47:15.804,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:48:15.805,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
General FDIR Metrics (10)30/03/2007/03/30 01:49:15.806,Quadrant resolved, Fine align active, Inertial navigator initialised, Inertial navigator alignment active, Full navigation solution, Initial position valid, CPU loading exceeds 55% threshold, User attitude RMS performance, User heading RMS performance, User position RMS performance, User velocity RMS performance, GAMS installation parameters valid, GAMS solution in use, GAMS solution OK, Primary GPS navigation solution in use, Primary GPS configuration file sent, Primary GPS observables in use, Secondary GPS observables in use, IIN in C/A GPS aided mode, **Auxiliary GPS data gap, Primary GPS in Marinestar G2 mode, 
